    0.000000    0.000000    0.000000
    0.020408    0.000000    0.000000
    0.040816    0.000000    0.000000
    0.061224    0.000000    0.000000
    0.081633    0.000000    0.000000
    0.102041    0.000000    0.000000
    0.122449    0.000000    0.000000
    0.142857    0.000000    0.000000
    0.163265    0.000000    0.000000
    0.183673    0.000000    0.000000
    0.204082    0.000000    0.000000
    0.224490    0.000000    0.000000
    0.244898    0.000000    0.000000
    0.265306    0.000000    0.000000
    0.285714    0.000000    0.000000
    0.306122    0.000000    0.000001
    0.326531    0.000000    0.000001
    0.346939    0.000000    0.000001
    0.367347    0.000000    0.000002
    0.387755    0.000000    0.000002
    0.408163    0.000000    0.000002
    0.428571    0.000000    0.000003
    0.448980    0.000000    0.000003
    0.469388    0.000000    0.000004
    0.489796    0.000000    0.000004
    0.510204    0.000000    0.000004
    0.530612    0.000000    0.000004
    0.551020    0.000000    0.000003
    0.571429    0.000000    0.000003
    0.591837    0.000000    0.000002
    0.612245    0.000000    0.000002
    0.632653    0.000000    0.000002
    0.653061    0.000000    0.000001
    0.673469    0.000000    0.000001
    0.693878    0.000000    0.000001
    0.714286    0.000000    0.000000
    0.734694    0.000000    0.000000
    0.755102    0.000000    0.000000
    0.775510    0.000000    0.000000
    0.795918    0.000000    0.000000
    0.816327    0.000000    0.000000
    0.836735    0.000000    0.000000
    0.857143    0.000000    0.000000
    0.877551    0.000000    0.000000
    0.897959    0.000000    0.000000
    0.918367    0.000000    0.000000
    0.938776    0.000000    0.000000
    0.959184    0.000000    0.000000
    0.979592    0.000000    0.000000
    1.000000    0.000000    0.000000
    0.000000    0.020408    0.000000
    0.020408    0.020408    0.000348
    0.040816    0.020408    0.000697
    0.061224    0.020408    0.001048
    0.081633    0.020408    0.001401
    0.102041    0.020408    0.001757
    0.122449    0.020408    0.002116
    0.142857    0.020408    0.002476
    0.163265    0.020408    0.002839
    0.183673    0.020408    0.003202
    0.204082    0.020408    0.003564
    0.224490    0.020408    0.003923
    0.244898    0.020408    0.004276
    0.265306    0.020408    0.004621
    0.285714    0.020408    0.004954
    0.306122    0.020408    0.005272
    0.326531    0.020408    0.005572
    0.346939    0.020408    0.005850
    0.367347    0.020408    0.006103
    0.387755    0.020408    0.006326
    0.408163    0.020408    0.006518
    0.428571    0.020408    0.006675
    0.448980    0.020408    0.006795
    0.469388    0.020408    0.006876
    0.489796    0.020408    0.006917
    0.510204    0.020408    0.006917
    0.530612    0.020408    0.006876
    0.551020    0.020408    0.006795
    0.571429    0.020408    0.006675
    0.591837    0.020408    0.006518
    0.612245    0.020408    0.006326
    0.632653    0.020408    0.006103
    0.653061    0.020408    0.005850
    0.673469    0.020408    0.005572
    0.693878    0.020408    0.005272
    0.714286    0.020408    0.004954
    0.734694    0.020408    0.004621
    0.755102    0.020408    0.004276
    0.775510    0.020408    0.003923
    0.795918    0.020408    0.003564
    0.816327    0.020408    0.003202
    0.836735    0.020408    0.002839
    0.857143    0.020408    0.002476
    0.877551    0.020408    0.002116
    0.897959    0.020408    0.001757
    0.918367    0.020408    0.001401
    0.938776    0.020408    0.001048
    0.959184    0.020408    0.000697
    0.979592    0.020408    0.000348
    1.000000    0.020408    0.000000
    0.000000    0.040816    0.000000
    0.020408    0.040816    0.000697
    0.040816    0.040816    0.001397
    0.061224    0.040816    0.002099
    0.081633    0.040816    0.002806
    0.102041    0.040816    0.003519
    0.122449    0.040816    0.004237
    0.142857    0.040816    0.004959
    0.163265    0.040816    0.005685
    0.183673    0.040816    0.006412
    0.204082    0.040816    0.007137
    0.224490    0.040816    0.007855
    0.244898    0.040816    0.008562
    0.265306    0.040816    0.009252
    0.285714    0.040816    0.009920
    0.306122    0.040816    0.010557
    0.326531    0.040816    0.011157
    0.346939    0.040816    0.011714
    0.367347    0.040816    0.012219
    0.387755    0.040816    0.012666
    0.408163    0.040816    0.013050
    0.428571    0.040816    0.013364
    0.448980    0.040816    0.013604
    0.469388    0.040816    0.013765
    0.489796    0.040816    0.013847
    0.510204    0.040816    0.013847
    0.530612    0.040816    0.013765
    0.551020    0.040816    0.013604
    0.571429    0.040816    0.013364
    0.591837    0.040816    0.013050
    0.612245    0.040816    0.012666
    0.632653    0.040816    0.012219
    0.653061    0.040816    0.011714
    0.673469    0.040816    0.011157
    0.693878    0.040816    0.010557
    0.714286    0.040816    0.009920
    0.734694    0.040816    0.009252
    0.755102    0.040816    0.008562
    0.775510    0.040816    0.007855
    0.795918    0.040816    0.007137
    0.816327    0.040816    0.006412
    0.836735    0.040816    0.005685
    0.857143    0.040816    0.004959
    0.877551    0.040816    0.004237
    0.897959    0.040816    0.003519
    0.918367    0.040816    0.002806
    0.938776    0.040816    0.002099
    0.959184    0.040816    0.001397
